Epoch: 1, Time Spent: 6.53s, Accuracy: 12.08%
Epoch: 2, Time Spent: 13.00s, Accuracy: 26.24%
Epoch: 3, Time Spent: 19.45s, Accuracy: 39.92%
Epoch: 4, Time Spent: 25.95s, Accuracy: 50.52%
Epoch: 5, Time Spent: 32.41s, Accuracy: 57.69%
Epoch: 6, Time Spent: 38.93s, Accuracy: 63.66%
Epoch: 7, Time Spent: 45.39s, Accuracy: 67.98%
Epoch: 8, Time Spent: 51.90s, Accuracy: 71.22%
Epoch: 9, Time Spent: 58.37s, Accuracy: 73.46%
Epoch: 10, Time Spent: 64.88s, Accuracy: 75.38%
Epoch: 11, Time Spent: 71.45s, Accuracy: 76.88%
Epoch: 12, Time Spent: 77.94s, Accuracy: 78.05%
Epoch: 13, Time Spent: 84.40s, Accuracy: 79.02%
Epoch: 14, Time Spent: 90.90s, Accuracy: 79.88%
Epoch: 15, Time Spent: 97.40s, Accuracy: 80.58%
Epoch: 16, Time Spent: 104.02s, Accuracy: 81.20%
Epoch: 17, Time Spent: 110.52s, Accuracy: 81.71%
Epoch: 18, Time Spent: 117.00s, Accuracy: 82.18%
Epoch: 19, Time Spent: 123.49s, Accuracy: 82.61%
Epoch: 20, Time Spent: 130.00s, Accuracy: 83.00%
Epoch: 21, Time Spent: 136.56s, Accuracy: 83.39%
Epoch: 22, Time Spent: 143.09s, Accuracy: 83.71%
Epoch: 23, Time Spent: 149.60s, Accuracy: 83.96%
Epoch: 24, Time Spent: 156.10s, Accuracy: 84.24%
Epoch: 25, Time Spent: 162.62s, Accuracy: 84.53%
Epoch: 26, Time Spent: 169.11s, Accuracy: 84.80%
Epoch: 27, Time Spent: 175.60s, Accuracy: 84.97%
Epoch: 28, Time Spent: 182.09s, Accuracy: 85.15%
Epoch: 29, Time Spent: 188.57s, Accuracy: 85.34%
Epoch: 30, Time Spent: 195.08s, Accuracy: 85.52%
Epoch: 31, Time Spent: 201.61s, Accuracy: 85.69%
Epoch: 32, Time Spent: 208.13s, Accuracy: 85.84%
Epoch: 33, Time Spent: 214.58s, Accuracy: 86.00%
Epoch: 34, Time Spent: 221.08s, Accuracy: 86.17%
Epoch: 35, Time Spent: 227.55s, Accuracy: 86.31%
Epoch: 36, Time Spent: 234.02s, Accuracy: 86.43%
Epoch: 37, Time Spent: 240.50s, Accuracy: 86.52%
Epoch: 38, Time Spent: 247.00s, Accuracy: 86.66%
Epoch: 39, Time Spent: 253.53s, Accuracy: 86.78%
