Epoch: 1, Time Spent: 70.56s, Accuracy: 29.03%
Epoch: 2, Time Spent: 141.01s, Accuracy: 32.98%
Epoch: 3, Time Spent: 207.09s, Accuracy: 36.14%
Epoch: 4, Time Spent: 274.02s, Accuracy: 40.57%
Epoch: 5, Time Spent: 341.56s, Accuracy: 46.52%
Epoch: 6, Time Spent: 408.51s, Accuracy: 52.03%
Epoch: 7, Time Spent: 477.72s, Accuracy: 55.99%
Epoch: 8, Time Spent: 544.31s, Accuracy: 58.37%
Epoch: 9, Time Spent: 610.89s, Accuracy: 60.05%
Epoch: 10, Time Spent: 677.84s, Accuracy: 61.46%
Epoch: 11, Time Spent: 746.37s, Accuracy: 62.61%
Epoch: 12, Time Spent: 812.04s, Accuracy: 63.65%
Epoch: 13, Time Spent: 877.56s, Accuracy: 64.60%
Epoch: 14, Time Spent: 943.87s, Accuracy: 65.38%
Epoch: 15, Time Spent: 1011.75s, Accuracy: 66.11%
Epoch: 16, Time Spent: 1077.80s, Accuracy: 66.80%
Epoch: 17, Time Spent: 1145.52s, Accuracy: 67.44%
Epoch: 18, Time Spent: 1212.60s, Accuracy: 67.93%
Epoch: 19, Time Spent: 1280.17s, Accuracy: 68.40%
Epoch: 20, Time Spent: 1351.72s, Accuracy: 68.79%
Epoch: 21, Time Spent: 1419.57s, Accuracy: 69.16%
Epoch: 22, Time Spent: 1488.02s, Accuracy: 69.52%
Epoch: 23, Time Spent: 1556.95s, Accuracy: 69.87%
Epoch: 24, Time Spent: 1627.25s, Accuracy: 70.18%
Epoch: 25, Time Spent: 1698.40s, Accuracy: 70.56%
Epoch: 26, Time Spent: 1766.36s, Accuracy: 70.97%
Epoch: 27, Time Spent: 1834.67s, Accuracy: 71.35%
Epoch: 28, Time Spent: 1902.28s, Accuracy: 71.72%
Epoch: 29, Time Spent: 1969.06s, Accuracy: 72.03%
Epoch: 30, Time Spent: 2036.00s, Accuracy: 72.31%
Epoch: 31, Time Spent: 2102.83s, Accuracy: 72.62%
